name,formatted_address,place_id,building,lat,lng,formatted_phone_number,international_phone_number,website,street_number,street_name,area,administrative_area_level_1,city
King's College Hospital London - Dubai,King’s College Hospital London - Dubai Hills - Dubai - United Arab Emirates,ChIJ1XhuJe5pXz4RGo-ENO0K6Cs,King’s College Hospital London,25.1128115,55.25498289999999,800 7777,+971 800 7777,https://kingscollegehospitaldubai.com/,N/A,N/A,N/A,Dubai,Dubai
Dubai Hospital,222 Al Khaleej St - Deira - Dubai - United Arab Emirates,ChIJ_0V2865cXz4RUL0f816Xf-I,"<span class=""street-address"">222 Al Khaleej St",25.2853739,55.32163449999999,800 60,+971 800 60,https://dubaihealth.ae/,222,Al Khaleej Street,Al Baraha,Dubai,Dubai
Dr. Sulaiman Al Habib Hospital - مستشفى د. سليمان الحبيب,Umm Hurair 2 - Dubai Healthcare City - Dubai - United Arab Emirates,ChIJq8IVfRddXz4RZSGidY3qoeo,"<span class=""street-address"">Umm Hurair 2",25.2326542,55.32089629999999,04 429 7777,+971 4 429 7777,https://drsulaimanalhabib.ae/,N/A,N/A,Umm Hurair 2,Dubai,Dubai
Canadian Specialist Hospital,Behind Ministry of Environment and Water - Abu Hail - Dubai - United Arab Emirates,ChIJryIR6fJcXz4Rha76qRk2wOc,Behind Ministry of Environment and Water,25.277331,55.34858999999999,04 707 2222,+971 4 707 2222,http://www.csh.ae/,N/A,N/A,Abu Hail,Dubai,Dubai
Clemenceau Medical Center Hospital,Dubai Healthcare City Phase 2 - Al Jaddaf - Dubai - United Arab Emirates,ChIJMVjocVRdXz4RviNZw4zedCw,Dubai Healthcare City Phase 2,25.2124614,55.3182663,800 262392,+971 800 262392,https://cmcdubai.ae/,N/A,N/A,الجداف,دبي,دبي
Saudi German Hospital | SGH Dubai,"Hessa Street 331 West, Al Barsha 3, Exit - 36 Sheikh Zayed Rd - opposite of American School - Dubai - United Arab Emirates",ChIJ0Y-QUoJrXz4RuwdG-7b_T9A,"Hessa Street 331 West, Al Barsha 3, Exit",25.0972091,55.1835059,800 2211,+971 800 2211,https://saudigerman.com/dubai/,36,Sheikh Zayed Road,Al Barsha,Dubai,Dubai
Al Tadawi Specialty Hospital,شارع القرهود، بجانب برنامج الشيخ زايد للإسكان، - Dubai - United Arab Emirates,ChIJqzO3nMpdXz4RtKnx-UI5rsE,شارع القرهود، بجانب برنامج الشيخ زايد للإسكان،,25.233216,55.35409190000001,04 230 9999,+971 4 230 9999,https://www.tadawi.ae/,N/A,N/A,Al Garhoud,Dubai,Dubai
Medcare Royal Speciality Hospital,16 18th St - Al Qusais - Al Qusais 2 - Dubai - United Arab Emirates,ChIJTfdZIetdXz4RJ_nE3uixsXo,"<span class=""street-address"">16 18th St",25.2667112,55.3893388,800 6332273,+971 800 6332273,https://www.medcare.ae/en,16,18th Street,Al Qusais,Dubai,Dubai
HMS Mirdif Hospital,6CPG+VV3 - Mirdif - Al Mizhar 1 - Dubai - United Arab Emirates,ChIJazUjZVxhXz4R-4MPg1ycgps,6CPG+VV3,25.2371875,55.4271875,800 467,+971 800 467,https://www.hmsmirdifhospital.ae/,N/A,N/A,Mirdif,Dubai,Dubai
Dubai London Hospital,Plot No. 3621078 - Jumeirah St - Umm Suqeim 2 - Dubai - United Arab Emirates,ChIJTVKwOo9rXz4R2rRdYRLNjbI,Plot No. 3621078,25.1547533,55.203019,800 352,+971 800 352,https://dubailondonhospital.com/,N/A,شارع جميرا,ام سقيم,دبي,دبي
